상세보기 페이지 URL,상품 ID,상세보기 innerHtml URL, 썸네일 URL,브랜드명,상품명,가격
https://www.lotteon.com/p/product/LO1375212826?sitmNo=LO1375212826_1375212827&mall_no=1&dp_infw_cd=CASec10200001,LO1375212826,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F75%2F21%2F28%2F26%2FDSCRP_LO1375212826,https://contents.lotteon.com/itemimage/LO/13/75/21/28/26/_1/37/52/12/82/7/LO1375212826_1375212827_1.jpg/dims/resizemc/360x360,타미힐피거,"[온세상쿠폰][온세상 쿠폰가 : 35,910원] 기모 맨투맨 5종 택1","39,900원"
https://www.lotteon.com/p/product/LO1344342884?sitmNo=LO1344342884_1344342885&mall_no=1&dp_infw_cd=CASec10200001,LO1344342884,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F44%2F34%2F28%2F84%2FDSCRP_LO1344342884,https://contents.lotteon.com/itemimage/LO/13/44/34/28/84/_1/34/43/42/88/5/LO1344342884_1344342885_1.jpg/dims/resizemc/360x360,헤지스,[19FW]WHTS9D431B5 블루 퍼피자수 면혼방 긴팔폴로티셔츠,"82,320원"
https://www.lotteon.com/p/product/LO1047913134?sitmNo=LO1047913134_1047913135&mall_no=1&dp_infw_cd=CASec10200001,LO1047913134,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F10%2F47%2F91%2F31%2F34%2FDSCRP_LO1047913134,https://contents.lotteon.com/itemimage/LO/10/47/91/31/34/_1/04/79/13/13/5/LO1047913134_1047913135_1.jpg/dims/resizemc/360x360,몽블랑,"[온세상쿠폰][최종혜택가 133,300원][쇼핑백증정] 사피아노 리버서블 벨트 113834","159,250원"
https://www.lotteon.com/p/product/LO1000937900?sitmNo=LO1000937900_1000937902&mall_no=1&dp_infw_cd=CASec10200001,LO1000937900,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F10%2F00%2F93%2F79%2F00%2FDSCRP_LO1000937900,https://contents.lotteon.com/itemimage/LO/10/00/93/79/00/_1/00/09/37/90/2/LO1000937900_1000937902_1.jpg/dims/resizemc/360x360,지오다노,[] 243801 코튼 져지 크루넥 3pcs 패키지,"14,850원"
https://www.lotteon.com/p/product/LO1001416261?sitmNo=LO1001416261_1001416263&mall_no=1&dp_infw_cd=CASec10200001,LO1001416261,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F10%2F01%2F41%2F62%2F61%2FDSCRP_LO1001416261,https://contents.lotteon.com/itemimage/LO/10/01/41/62/61/_1/00/14/16/26/3/LO1001416261_1001416263_1.jpg/dims/resizemc/360x360,칼하트,"[온세상쿠폰]Carhartt 써멀후드집업 100632, 104078外 4종","101,560원"
https://www.lotteon.com/p/product/LO1344381740?sitmNo=LO1344381740_1344381741&mall_no=1&dp_infw_cd=CASec10200001,LO1344381740,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F44%2F38%2F17%2F40%2FDSCRP_LO1344381740,https://contents.lotteon.com/itemimage/LO/13/44/38/17/40/_1/34/43/81/74/1/LO1344381740_1344381741_1.jpg/dims/resizemc/360x360,헤지스,[19FW]WHTS9D431D2 와인 퍼피자수 면혼방 긴팔폴로티셔츠,"82,320원"
https://www.lotteon.com/p/product/LO1275412451?sitmNo=LO1275412451_1275412452&mall_no=1&dp_infw_cd=CASec10200001,LO1275412451,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F75%2F41%2F24%2F51%2FDSCRP_LO1275412451,https://contents.lotteon.com/itemimage/LO/12/75/41/24/51/_1/27/54/12/45/2/LO1275412451_1275412452_1.jpg/dims/resizemc/360x360,헤지스,[19FW]WHTS9D021BK 블랙 컬러블록 면혼방 긴팔티셔츠,"74,930원"
https://www.lotteon.com/p/product/LO1306574555?sitmNo=LO1306574555_1306574556&mall_no=1&dp_infw_cd=CASec10200001,LO1306574555,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F06%2F57%2F45%2F55%2FDSCRP_LO1306574555,https://contents.lotteon.com/itemimage/LO/13/06/57/45/55/_1/30/65/74/55/6/LO1306574555_1306574556_1.jpg/dims/resizemc/360x360,타미힐피거,[온세상쿠폰]남녀공용 F/W 크루넥 맨투맨,"35,190원"
https://www.lotteon.com/p/product/LO1300978510?sitmNo=LO1300978510_1300978511&mall_no=1&dp_infw_cd=CASec10200001,LO1300978510,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F00%2F97%2F85%2F10%2FDSCRP_LO1300978510,https://contents.lotteon.com/itemimage/LO/13/00/97/85/10/_1/30/09/78/51/1/LO1300978510_1300978511_1.jpg/dims/resizemc/360x360,헤지스,[19FW]WHTS9D345N2 네이비 컬러블록 면 긴팔티셔츠,"69,540원"
https://www.lotteon.com/p/product/LO1344381788?sitmNo=LO1344381788_1344381790&mall_no=1&dp_infw_cd=CASec10200001,LO1344381788,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F44%2F38%2F17%2F88%2FDSCRP_LO1344381788,https://contents.lotteon.com/itemimage/LO/13/44/38/17/88/_1/34/43/81/79/0/LO1344381788_1344381790_1.jpg/dims/resizemc/360x360,헤지스,[19FW]WHTS9D431CG 차콜그레이 퍼피자수 면혼방 긴팔폴로티셔츠,"82,320원"
